UserID,Gender,Age-group,AppVersion,FamilyID
a363e64c-0938-3b77-be07-b4ead1234a36,F,15-19,2,NULL
a4c86c02-c299-3bc3-ade8-9c98a5a546dd,M,30-39,2,NULL
bbca71c8-05c1-3b9b-9c80-37b5adf337b7,F,40-59,2,NULL
2df06a08-863e-3a9d-b1fa-a993bd60c0e0,F,40-59,2,NULL
06030415-f53e-369f-9ab7-0149e3cd7f36,F,Above 60,2,F018
2de65b5f-95af-3539-b1c9-35640b69f11c,M,Above 60,2,F018
dded67f0-11d2-33f2-8e15-fc1434feef1a,F,30-39,2,NULL
65746a57-19c2-378a-9bc2-e132e7ee96ba,F,Above 60,2,NULL
05fcee85-d08d-3cce-86fe-004ab56af4b3,F,40-59,2,F017
48c27d97-6ec0-33f1-a6b6-5f5c013ac4b2,F,Above 60,2,NULL
017799e7-1f8c-330f-9a31-c3933af54868,F,Above 60,2,F025
8fcb66e2-7fd5-3b0a-b8f0-b99d6a463c07,F,Above 60,2,NULL
270b8767-2828-326d-8b2b-0e2ddfef83d6,F,20-29,2,F017
39e26a73-dc40-30d0-8b1a-7b5f98e48ef5,F,Above 60,2,NULL
af01d1f8-19c7-382e-8cb1-2a9dcd117948,F,30-39,2,NULL
960d021f-6615-3b8f-9db4-ff127943e4d6,M,30-39,2,F018
e138dc86-842d-3853-8565-8deac338d97b,F,Above 60,2,NULL
81ef7e0e-1362-3085-a84c-331df30b1481,M,Above 60,2,NULL
ffea6aaf-068b-3c1a-a0e6-0d0a73a28820,F,30-39,2,NULL
b4212ce7-a949-3067-98ae-2bfa7fffaad9,F,15-19,2,F005
0edc592a-0cc7-399f-84a6-7dbcc3e1b3ab,F,Below 15,2,NULL
ce973bdc-cfec-3c23-ac3d-2a2f5146a8a1,F,30-39,2,NULL
9a60d3a2-a7bc-311f-8111-6f295be1bdd0,F,40-59,2,F036
ff328c1a-d691-30f1-82df-c9fde36c4374,M,Above 60,2,NULL
69112467-41cf-352e-a57d-b7af0147b96f,F,30-39,2,F022
da693bac-dfbc-365e-941a-cfc9a6f2ffca,F,30-39,2,NULL
c9b07223-b98c-3e99-b75c-f9d910ce36b0,F,Above 60,2,NULL
d09d7631-e35b-3599-bca5-63a8055865df,F,30-39,2,NULL
63b5e5f3-85c5-3c4e-9a34-bd14c10e1d3f,M,40-59,2,NULL
4f6e1c16-b5c3-3a3f-9b7d-9c7fd2cb95e0,M,Above 60,2,F007
8277e63d-8d81-3abc-a8bf-6108433ee30c,F,Above 60,2,F007
63f19341-de58-315e-9e90-254ca425065e,F,Above 60,2,NULL
d181d793-cc08-315d-b158-312c237e89da,M,Above 60,2,NULL
7d35f3a2-b295-31a8-86c0-6ce6ba0b662e,M,30-39,2,F010
7cd0e7cc-fe4e-310f-a98c-3997465ff0a9,M,40-59,2,NULL
77abdaac-1c3e-31aa-abe7-3d37e7b94b24,F,30-39,2,F031
81729d66-4a04-37b6-886f-188b0308ed88,F,40-59,2,F031
86962a06-32ac-3de1-9454-282475ea92a2,F,Above 60,2,NULL
1331012f-a86a-36d3-96d6-42310744b48f,M,40-59,2,F022
fd9c5340-8496-336f-b7f3-b3b702760157,F,Above 60,2,NULL
e3d4126e-3213-3b8f-beed-f0219b19c5dd,F,Above 60,2,NULL
143530b7-a017-338d-9c1f-4786225928b8,F,40-59,2,NULL
f295b5e2-5900-35c9-8b5d-4ca9669735c3,M,Above 60,2,F025
2f57dbfc-9a01-37ea-9842-537a417928d3,F,30-39,2,NULL
c42705ad-2010-3784-ba3e-3c95da3be68e,M,40-59,2,NULL
37c692e1-a5e8-3602-bfe1-669e369c2bf2,F,30-39,2,NULL
99dddd88-2387-3119-9b1f-88307c2dd688,F,Above 60,2,F011
3a3a9e8e-9b11-3fa1-804f-ecc8c744802c,M,40-59,2,NULL
d0ba6a22-812c-333c-abd3-023ee7b9d5bb,M,30-39,2,F002
764348e6-6110-3987-8509-6c3980a2d4ed,F,30-39,2,F005
11cb9486-9339-3184-92b8-2ae79cf83b96,F,Below 15,2,F022
c8275c57-c90d-3bd2-b1cb-cf04dcc8283c,M,Above 60,2,NULL
b6ab1cd0-875a-30ca-8e37-61be892a50f7,F,Below 15,2,NULL
c20b0701-2b57-3737-aa30-7832d2520a9f,F,30-39,2,NULL
191a51a2-b4d8-36ba-a869-1746eb510d72,M,30-39,2,F023
77402794-e063-36b6-9a46-8d3422ff3ded,M,30-39,2,NULL
bd68dfd3-fe4a-38e7-99b0-a920c12aacc5,M,30-39,2,NULL
b914a675-66ce-3ef9-a328-89b252017b32,,,2,NULL
8158ea35-8297-3a0d-82c7-09ecdc326bd6,M,40-59,2,NULL
f845d8b4-503f-3bb2-80be-5e5d47b646cf,F,30-39,2,F002
a320cc14-36db-3176-8604-fe75dcedf4bb,F,40-59,2,NULL
8d34b352-d289-37e6-be11-5d049f731ee0,F,30-39,2,NULL
07c3df97-7a46-3806-89b3-59f463270434,F,30-39,2,NULL
a257798a-dafd-32d9-b401-24377a053526,M,Above 50,1,F013
1f6e21f5-ef3f-3549-8f7b-affb499be9ae,M,30-39,2,F001
cc633cdb-c25f-3efe-9d5b-f1febeeef337,F,30-39,2,F001
63d7fcb1-4140-35d9-9e42-2d4220747e7e,M,Below 15,2,NULL
f3d5f474-10ef-3dbd-9798-74e8af5e7c92,M,40-59,2,NULL
4c68f65c-7367-32fe-9919-7412048f41a0,F,Above 60,2,F016
a59c69b4-48c1-3330-b510-e66aa529f0a5,F,30-39,2,NULL
30a6738f-a07e-31fe-8d8b-587c253cbfe0,F,30-39,2,NULL
7ecd2251-b931-345e-9b19-3036413ea06f,M,Above 60,2,F014
041c061f-ab1a-3947-bea8-119371346b72,M,40-59,2,NULL
c8a021e7-fe21-3fda-95fd-aa7d63a64766,F,40-59,2,NULL
8d5a34a9-2d85-3da1-9756-5e337e413cbc,M,Below 15,2,F012
e4793722-cdef-3211-b08a-573d5c187726,F,40-59,2,F014
5159d58e-85b8-373f-83fe-a414675a821b,M,Above 60,2,F008
d4fc97ca-7dc8-390a-9a9c-b82b325770bd,F,30-39,2,F010
397d8c59-23f7-3756-9b04-70c3a779ee07,M,Above 60,2,NULL
df361485-f6a4-3320-8bd6-2b245d04b462,M,Above 60,2,F009
79b52ec7-c45d-3ead-b9c1-1cbd09b1d951,M,40-59,2,F036
d8e369c3-5d6c-365a-b6c5-551fc8f6b992,M,Below 15,2,F001
fcb9a55c-7c71-38fb-ab5a-be450317b637,M,Above 60,2,F034
a9d352e0-a1fc-38bb-a8f5-849b6c8574ef,F,40-59,2,F034
24843080-9757-3a89-aa8d-6fdc6c61d5a8,F,Above 60,2,F019
e8519626-42e5-36a2-a67a-d139660d5dfa,M,Above 60,2,F019
93862bb6-ec9c-3ab6-a017-17b5ad3e22ba,F,40-59,2,F006
95460760-9b11-307f-97a7-cb6b86b0dae5,F,Above 60,2,NULL
66f0a783-d371-3425-a885-5e27e11f4ef9,F,15-19,2,F032
850ac222-d4f4-3ad0-9353-655016cc40e9,F,30-39,2,NULL
642e730a-c642-3716-87a4-ffc41bec5f46,F,Above 60,2,F008
420c9f54-ba36-34bb-85e5-41600ddf3ae9,M,Above 60,2,F006
b6f50c1d-4807-3c1c-99f0-60679f0bbfb9,M,30-39,2,F021
1f5d747e-8040-3526-9212-6ff2d71bc57d,F,40-59,2,F021
e78e24f8-56c1-3624-9f8b-86e7e55e0148,M,Above 60,2,F021
6852713e-7b37-3c2b-bb76-f6a3755639eb,F,30-39,2,NULL
3e754b4a-fb84-3da8-94b5-b25d7e01948b,F,40-59,2,NULL
1bc63db1-b632-3bcb-bf77-fadb0b1cbdd3,F,Above 60,2,NULL
